########################################################################
#                                                                      #
#	lexicon: all lexemes in biblical Aramaic                       #
#                                                                      #
########################################################################
#ident "@(#)lexicon	1.23 18/01/05"
"XBL["		sp=verb:vc=X\:ABAL:gl=be harmful
"XBL/"		sp=subs:gn=m:vc=X\:AB@L:gl=damage
"XBR/"		sp=subs:vc=X\:ABAR:gl=colleague
"XBRH/"		sp=subs:vc=XAB\:R@H:gl=colleague
"XGJ/"		sp=nmpr:sm=pers:gn=m:vc=XAG.AJ:gl=Haggai
"XD/"		sp=subs:ls=card:vc=XAD:gl=one
"XDH/"		sp=subs:vc=X\:AD;H:gl=breast
"XDWH/"		sp=subs:vc=XED\:W@H:gl=joy
"XDT/"		sp=adjv:vc=X\:ADAT:gl=new
"XWH["		sp=verb:vc=X\:AW@H:gl=know
"XWR/"		sp=adjv:vc=XIW.@R:gl=white
"XZH["		sp=verb:vc=X\:AZ@H:gl=see
"XZW/"		sp=subs:gn=m:vc=X\:EZW.:gl=vision
"XZWT/"		sp=subs:vc=X\:AZOWT:gl=appearance
"XV>/"		sp=subs:vc=X\:AV@>:gl=sin
"XV>H/"		sp=subs:vc=XAV.@>@H:gl=sin-offering
"XJ/"		sp=adjv:vc=XAJ:gl=living
"XJH["		sp=verb:vc=X\:AJ@H:gl=live
"XJWH/"		sp=subs:vc=X;JW@H:gl=animal
"XJJN/"		sp=subs:vc=XAJ.IJN:gl=life
"XJL/"		sp=subs:gn=m:vc=XAJIL:gl=strength
"XKJM/"		sp=adjv:vc=XAK.IJM:gl=wise
"XKMH/"		sp=subs:vc=X@K\:M@H:gl=wisdom
"XLM/"		sp=subs:gn=m:vc=X;LEM:gl=dream
"XLP["		sp=verb:vc=X\:ALAP:gl=pass by
"XLQ/"		sp=subs:gn=m:vc=X\:AL@Q:gl=share
"XMH/"		sp=subs:vc=X\:AM@H:gl=wrath
"XMR/"		sp=subs:gn=m:vc=X\:AMAR:gl=wine
"XNVH/"		sp=subs:gn=f:vc=XIN\:V@H:gl=wheat
"XNKH/"		sp=subs:vc=X\:ANUK.@H:gl=inauguration
"XNN["		sp=verb:vc=X\:ANAN:gl=show mercy
"XNNJH/"	sp=nmpr:sm=pers:gn=m:vc=X\:ANAN\:J@H:gl=Hananiah
"XSJR/"		sp=adjv:vc=XAS.IJR:gl=wanting
"XSN["		sp=verb:vc=X\:ASAN:gl=possess
"XSN/"		sp=subs:gn=m:vc=X\:ES;N:gl=power
"XSP/"		sp=subs:gn=m:vc=X\:ASAP:gl=clay
"XYP["		sp=verb:vc=X\:AYAP:gl=be bare
"XRB["		sp=verb:vc=X\:ARAB:gl=destroy
"XRVM/"		sp=subs:gn=m:vc=XAR\:V.OM:gl=magician
"XRK["		sp=verb:vc=X\:ARAK\::gl=burn
"XRY/"		sp=subs:gn=m:vc=X\:ARAY:gl=hip
"XCB["		sp=verb:vc=X\:ACAB:gl=consider
"XCWK/"		sp=subs:gn=m:vc=X\:ACOWK\::gl=darkness
"XCX["		sp=verb:vc=X\:ACAX:gl=need
"XCXH/"		sp=subs:vc=XAC\:X@H:gl=need
"XCXW/"		sp=subs:vc=XAC\:XW.:gl=need
"XCL["		sp=verb:vc=X\:ACAL:gl=hammer
"XTM["		sp=verb:vc=X\:ATAM:gl=seal
"V>B["		sp=verb:vc=V\:>;B:gl=be good
"VB/"		sp=adjv:vc=V@B:gl=good
"VBX/"		sp=subs:vc=VAB.AX:gl=executioner
"VWR/"		sp=subs:gn=m:vc=VW.R:gl=mountain
"VWT"		sp=advb:vc=V\:W@T:gl=fastingly
"VJN/"		sp=subs:gn=m:vc=VIJN:gl=clay
"VL/"		sp=subs:gn=m:vc=VAL:gl=dew
"VLL["		sp=verb:vc=V\:LAL:gl=shelter
"V<M["		sp=verb:vc=V\:<;M:gl=eat
"V<M/"		sp=subs:gn=m:vc=V\:<;M:gl=sense
"VPR/"		sp=subs:gn=m:vc=V\:PAR:gl=nail
"VRD["		sp=verb:vc=V\:RAD:gl=drive out
"VRPLJ/"	sp=subs:vc=VAR\:P.\:L@J:gl=<unknown>
"JBL["		sp=verb:vc=J\:BAL:gl=bring
"JBCH/"		sp=subs:vc=JAB.\:C@H:gl=land
"JGR/"		sp=subs:gn=m:vc=J\:GAR:gl=heap of stones
"JD/"		sp=subs:gn=f:vc=JAD:gl=hand
"JDH["		sp=verb:vc=J\:D@H:gl=praise
"JD<["		sp=verb:vc=J\:DA<:gl=know
"JHB["		sp=verb:vc=J\:HAB:gl=give
"JHWD/"		sp=nmpr:sm=topo:vc=J\:HW.D:gl=Judaea
